№;Герб;Город;Регион;Федеральный округ;Население;Основание илипервое упоминание;Статус города[4];Прежние названия
97;;Бердск;Новосибирская область;Сибирский;102 850;1716;1944;
98;;Березники;Пермский край;Приволжский;138 069;1623;1932;
99;;Берёзовский;Кемеровская область;Сибирский;44 932;1965;1965;
100;;Берёзовский;Свердловская область;Уральский;59 698;1748;1938;
101;;Беслан;Северная Осетия;Северо-Кавказский;35 929;1847;1950;
102;;Бийск;Алтайский край;Сибирский;183 852;1709;1782;
103;;Бикин;Хабаровский край;Дальневосточный;16 240;1895;1938;
104;;Билибино;Чукотский АО;Дальневосточный;5546;1955;1993;
105;;Биробиджан;Еврейская АО;Дальневосточный;70 064;1915;1931;
106;;Бирск;Башкортостан;Приволжский;44 295;1663;1781;Архангельское
107;;Бирюсинск;Иркутская область;Сибирский;8632;1897;1967;
108;;Бирюч;Белгородская область;Центральный;7114;1705;2005;
109;;Благовещенск;Башкортостан;Приволжский;35 481;1756;1941;
110;;Благовещенск;Амурская область;Дальневосточный;241 437;1856;1858;
111;;Благодарный;Ставропольский край;Северо-Кавказский;30 827;1782;1971;Солдатское
112;;Бобров;Воронежская область;Центральный;20 871;1698;1711;
113;;Богданович;Свердловская область;Уральский;30 142;1885;1947;
114;;Богородицк;Тульская область;Центральный;29 560;1663;1777;
115;;Богородск;Нижегородская область;Приволжский;35 068;1561;1923;
116;;Боготол;Красноярский край;Сибирский;18 206;1893;1911;
117;;Богучар;Воронежская область;Центральный;14 370;1704;1779;
118;;Бодайбо;Иркутская область;Сибирский;8921;1864;1903;
119;;Бокситогорск;Ленинградская область;Северо-Западный;16 185;1929;1950;
120;;Болгар;Татарстан;Приволжский;8285;X век;1957;
121;;Бологое;Тверская область;Центральный;20 234;1495;1918;
122;;Болотное;Новосибирская область;Сибирский;15 644;1805;1943;
123;;Болохово;Тульская область;Центральный;9339;;1943;
124;;Болхов;Орловская область;Центральный;9495;1196;1778;
125;;Большой Камень;Приморский край;Дальневосточный;41 825;1947;1989;
126;;Бор;Нижегородская область;Приволжский;78 372;;1938;
127;;Борзя;Забайкальский край;Сибирский;29 596;1899;1950;
