№;Герб;Город;Регион;Федеральный округ;Население;Основание илипервое упоминание;Статус города[4];Прежние названия
417;;Кирс;Кировская область;Приволжский;8982;1729;1965;
418;;Кирсанов;Тамбовская область;Центральный;16 164;1702;1779;
419;;Киселёвск;Кемеровская область;Сибирский;83 431;1917;1936;
420;;Кисловодск;Ставропольский край;Северо-Кавказский;127 521;1803;1903;
421;;Клин;Московская область;Центральный;88 511;1317;1781;
422;;Клинцы;Брянская область;Центральный;63 059;1707;1925;
423;;Княгинино;Нижегородская область;Приволжский;6447;1569;1998;
424;;Ковдор;Мурманская область;Северо-Западный;15 770;1953;1965;
425;;Ковров;Владимирская область;Центральный;132 417;;1778;
426;;Ковылкино;Мордовия;Приволжский;19 793;1892;1960;
427;;Когалым;Ханты-Мансийский АО;Уральский;61 441;1975;1985;Когалымский
428;;Кодинск;Красноярский край;Сибирский;13 324;1977;1989;
429;;Козельск;Калужская область;Центральный;16 759;;1146;
430;;Козловка;Чувашия;Приволжский;7781;1671;1967;
431;;Козьмодемьянск;Марий Эл;Приволжский;19 731;1583;1781;
432;;Кола;Мурманская область;Северо-Западный;9016;1517;1965;
433;;Кологрив;Костромская область;Центральный;2468;;1778;
434;;Коломна;Московская область;Центральный;134 850;1177;1177;
435;;Колпашево;Томская область;Сибирский;20 824;;1938;
436;;Кольчугино;Владимирская область;Центральный;39 410;1871;1931;
437;;Коммунар;Ленинградская область;Северо-Западный;25 793;1843;1993;
438;;Комсомольск;Ивановская область;Центральный;8364;1931;1950;
439;;Комсомольск-на-Амуре;Хабаровский край;Дальневосточный;238 505;1860;1932;Пермское
440;;Конаково;Тверская область;Центральный;33 560;1806;1937;
441;;Кондопога;Карелия;Северо-Западный;25 851;1563;1938;
442;;Кондрово;Калужская область;Центральный;15 734;1615;1938;
443;;Константиновск;Ростовская область;Южный;17 207;1593;1967;
444;;Копейск;Челябинская область;Уральский;147 806;1907;1933;
445;;Кораблино;Рязанская область;Центральный;10 334;1676;1965;Кораблинск
446;;Кореновск;Краснодарский край;Южный;41 826;1794;1961;
447;;Коркино;Челябинская область;Уральский;37 224;1795;1942;
448;;Королёв;Московская область;Центральный;228 095;1938;1938;
449;;Короча;Белгородская область;Центральный;5623;1637;1638;
450;;Корсаков;Сахалинская область;Дальневосточный;33 950;1853;1946;
451;;Коряжма;Архангельская область;Северо-Западный;34 523;1535;1985;
452;;Костерёво;Владимирская область;Центральный;7113;1890;1981;
453;;Костомукша;Карелия;Северо-Западный;26 048;1977;1983;
454;;Кострома;Костромская область;Центральный;267 481;1152;1152;
455;;Котельники;Московская область;Центральный;63 728;;2004;
456;;Котельниково;Волгоградская область;Южный;22 016;1897;1955;
457;;Котельнич;Кировская область;Приволжский;20 144;1143;1780;Кокшаров
458;;Котлас;Архангельская область;Северо-Западный;56 093;1617;1917;Кодлас
459;;Котово;Волгоградская область;Южный;21 028;1710-е;1966;
460;;Котовск;Тамбовская область;Центральный;26 694;1940;1940;
461;;Кохма;Ивановская область;Центральный;30 940;1619;1925;
462;;Красавино;Вологодская область;Северо-Западный;5601;1848;1947;
463;;Красноармейск;Московская область;Центральный;26 492;1928;1947;
464;;Красноармейск;Саратовская область;Приволжский;21 350;1765;1918;
465;;Красновишерск;Пермский край;Приволжский;14 460;1894;1942;
466;;Красногорск;Московская область;Центральный;187 634;1932;1940;
467;;Краснодар;Краснодарский край;Южный;1 099 344;1793;1867;
468;;Краснозаводск;Московская область;Центральный;14 639;1916;1940;
469;;Краснознаменск;Калининградская область;Северо-Западный;3419;1576;1946;
470;;Краснознаменск;Московская область;Центральный;43 868;1952;1981;
471;;Краснокаменск;Забайкальский край;Сибирский;51 137;1967;1969;
472;;Краснокамск;Пермский край;Приволжский;48 778;1929;1938;
473;;;Крым;Южный;25 569;1932;1966;
474;;Краснослободск;Волгоградская область;Южный;16 545;1870;1955;
475;;Краснослободск;Мордовия;Приволжский;8910;1571;1706;
476;;Краснотурьинск;Свердловская область;Уральский;55 875;1758;1944;
477;;Красноуральск;Свердловская область;Уральский;21 507;1925;1931;
478;;Красноуфимск;Свердловская область;Уральский;37 301;1736;1781;
479;;Красноярск;Красноярский край;Сибирский;1 187 771;1628;1690;
480;;Красный Кут;Саратовская область;Приволжский;14 296;1837;1966;
481;;Красный Сулин;Ростовская область;Южный;35 697;1797;1926;
482;;Красный Холм;Тверская область;Центральный;4998;1518;1776;
483;;Кремёнки;Калужская область;Центральный;11 745;;2004;
484;;Кропоткин;Краснодарский край;Южный;75 858;1879;1921;
485;;Крымск;Краснодарский край;Южный;54 597;1862;1958;
486;;Кстово;Нижегородская область;Приволжский;63 646;;1957;
487;;Кубинка;Московская область;Центральный;23 146;;2004;
488;;Кувандык;Оренбургская область;Приволжский;26 596;;1953;
489;;Кувшиново;Тверская область;Центральный;9262;1910;1938;
490;;Кудрово;Ленинградская область;Северо-Западный;60 791;1926;2018;
491;;Кудымкар;Пермский край;Приволжский;28 293;1579;1938;
492;;Кузнецк;Пензенская область;Приволжский;78 390;1699;1780;
493;;Куйбышев;Новосибирская область;Сибирский;41 946;1722;1722;
494;;Кукмор;Татарстан;Приволжский;17 886;1741;2017;Таишевский завод
495;;Кулебаки;Нижегородская область;Приволжский;32 184;1677;1932;
496;;Кумертау;Башкортостан;Приволжский;57 949;1947;1953;
497;;Кунгур;Пермский край;Приволжский;62 673;1663;1781;
498;;Купино;Новосибирская область;Сибирский;15 065;1886;1944;
499;;Курган;Курганская область;Уральский;310 911;1679;1782;
500;;Курганинск;Краснодарский край;Южный;47 305;1855;1961;
501;;Курильск;Сахалинская область;Дальневосточный;2530;;1947;
502;;Курлово;Владимирская область;Центральный;6309;1811;1998;
503;;Куровское;Московская область;Центральный;19 857;1646;1952;
504;;Курск;Курская область;Центральный;440 052;1032;1779;
505;;Куртамыш;Курганская область;Уральский;14 806;1745;1956;
506;;Курчалой;Чечня;Северо-Кавказский;23 425;1860;2019;
507;;Курчатов;Курская область;Центральный;40 318;1968;1983;
508;;Куса;Челябинская область;Уральский;17 136;1778;1943;Кусинский завод
509;;Кушва;Свердловская область;Уральский;27 306;1735;1925;
510;;Кызыл;Тыва;Сибирский;125 241;1914;1914;
511;;Кыштым;Челябинская область;Уральский;36 045;1757;1934;
512;;Кяхта;Бурятия;Сибирский;17 877;1727;1805;
513;;Лабинск;Краснодарский край;Южный;57 428;1841;1947;Лабинская
514;;Лабытнанги;Ямало-Ненецкий АО;Уральский;25 501;1890;1975;
515;;Лагань;Калмыкия;Южный;13 834;1870;1963;
516;;Ладушкин;Калининградская область;Северо-Западный;3666;1314;1946;
517;;Лаишево;Татарстан;Приволжский;9076;1557;2004;
518;;Лакинск;Владимирская область;Центральный;12 861;;1969;
519;;Лангепас;Ханты-Мансийский АО;Уральский;42 701;1980;1985;
520;;Лахденпохья;Карелия;Северо-Западный;5952;1600;1945;
521;;Лебедянь;Липецкая область;Центральный;20 049;1605;1613;
522;;Лениногорск;Татарстан;Приволжский;60 993;1795;1955;
523;;Ленинск;Волгоградская область;Южный;13 391;1802;1963;
524;;Ленинск-Кузнецкий;Кемеровская область;Сибирский;92 244;1763;1925;
525;;Ленск;Якутия;Дальневосточный;21 392;1663;1963;
526;;Лермонтов;Ставропольский край;Северо-Кавказский;22 444;1953;1956;
527;;Лесной;Свердловская область;Уральский;48 261;1947;1954;
528;;Лесозаводск;Приморский край;Дальневосточный;35 433;1932;1938;
529;;Лесосибирск;Красноярский край;Сибирский;55 730;1975;1975;
530;;Ливны;Орловская область;Центральный;43 549;1586;1586;
531;;Ликино-Дулёво;Московская область;Центральный;34 191;1930;1937;
532;;Липецк;Липецкая область;Центральный;496 403;1703;1779;
533;;Липки;Тульская область;Центральный;8325;;1955;
534;;Лиски;Воронежская область;Центральный;54 147;;1937;
535;;Лихославль;Тверская область;Центральный;11 017;1624;1925;
536;;Лобня;Московская область;Центральный;82 764;1902;1961;
537;;Лодейное Поле;Ленинградская область;Северо-Западный;18 905;1702;1785;
538;;Лосино-Петровский;Московская область;Центральный;29 000;1708;1951;
539;;Луга;Ленинградская область;Северо-Западный;38 407;1777;1777;
540;;Луза;Кировская область;Приволжский;9122;1899;1944;
541;;Лукоянов;Нижегородская область;Приволжский;12 652;;1779;
542;;Луховицы;Московская область;Центральный;29 889;1594;1957;Глуховичи
543;;Лысково;Нижегородская область;Приволжский;21 657;1410;1922;
544;;Лысьва;Пермский край;Приволжский;53 855;1785;1926;
545;;Лыткарино;Московская область;Центральный;65 212;1429;1957;
546;;Льгов;Курская область;Центральный;17 557;1152;1779;Ольгов
547;;Любань;Ленинградская область;Северо-Западный;4565;1499;1917;Любани
548;;Люберцы;Московская область;Центральный;224 195;1623;1925;
549;;Любим;Ярославская область;Центральный;5037;1538;1777;
550;;Людиново;Калужская область;Центральный;35 874;1626;1938;
551;;Лянтор;Ханты-Мансийский АО;Уральский;40 977;1932;1992;
552;;Магадан;Магаданская область;Дальневосточный;90 757;1929;1939;
553;;Магас;Ингушетия;Северо-Кавказский;15 271;1994;2000;
554;;Магнитогорск;Челябинская область;Уральский;410 594;1929;1931;
555;;Майкоп;Адыгея;Южный;143 385;1857;1870;
556;;Майский;Кабардино-Балкария;Северо-Кавказский;26 632;;1965;
557;;Макаров;Сахалинская область;Дальневосточный;5848;1892;1946;
558;;Макарьев;Костромская область;Центральный;5528;1439;1778;Макарьевская слобода
559;;Макушино;Курганская область;Уральский;6827;1797;1963;
560;;Малая Вишера;Новгородская область;Северо-Западный;9996;1843;1921;
561;;Малгобек;Ингушетия;Северо-Кавказский;36 480;1934;1939;
562;;Малмыж;Кировская область;Приволжский;6931;;1780;
563;;Малоархангельск;Орловская область;Центральный;3609;;1778;
564;;Малоярославец;Калужская область;Центральный;41 836;1402;1776;
565;;Мамадыш;Татарстан;Приволжский;15 726;1391;1781;
566;;Мамоново;Калининградская область;Северо-Западный;8314;1301;1301;
567;;Мантурово;Костромская область;Центральный;13 043;1617;1958;
568;;Мариинск;Кемеровская область;Сибирский;40 779;1698;1856;
569;;Мариинский Посад;Чувашия;Приволжский;7851;1620;1856;
570;;Маркс;Саратовская область;Приволжский;28 749;1765;1918;
571;;Махачкала;Дагестан;Северо-Кавказский;623 254;1844;1857;
572;;Мглин;Брянская область;Центральный;6919;1387;1154;
573;;Мегион;Ханты-Мансийский АО;Уральский;52 887;1810;1980;
574;;Медвежьегорск;Карелия;Северо-Западный;11 962;1916;1938;
575;;Медногорск;Оренбургская область;Приволжский;23 693;1933;1939;
576;;Медынь;Калужская область;Центральный;8200;1386;1386;
577;;Межгорье;Башкортостан;Приволжский;15 697;1979;1995;
578;;Междуреченск;Кемеровская область;Сибирский;96 174;1946;1955;
579;;Мезень;Архангельская область;Северо-Западный;2874;;1780;
580;;Меленки;Владимирская область;Центральный;13 407;;1778;
581;;Мелеуз;Башкортостан;Приволжский;56 505;1766;1958;
582;;Менделеевск;Татарстан;Приволжский;22 875;1868;1967;
583;;Мензелинск;Татарстан;Приволжский;16 008;1586;1781;
584;;Мещовск;Калужская область;Центральный;3810;1238;1776;
585;;Миасс;Челябинская область;Уральский;147 995;1773;1919;Миясский завод
586;;Микунь;Коми;Северо-Западный;8527;1937;1959;
587;;Миллерово;Ростовская область;Южный;34 841;1786;1926;Миллеров-Глубокинский
588;;Минеральные Воды;Ставропольский край;Северо-Кавказский;70 485;1878;1922;
589;;Минусинск;Красноярский край;Сибирский;70 089;1739;1822;
590;;Миньяр;Челябинская область;Уральский;8500;1771;1943;
591;;Мирный;Якутия;Дальневосточный;34 045;1955;1959;
592;;Мирный;Архангельская область;Северо-Западный;27 262;1957;1967;
593;;Михайлов;Рязанская область;Центральный;10 303;1137;1551;
594;;Михайловка;Волгоградская область;Южный;56 031;1762;1948;
595;;Михайловск;Свердловская область;Уральский;9756;1805;1961;
596;;Михайловск;Ставропольский край;Северо-Кавказский;114 133;1784;1999;
597;;Мичуринск;Тамбовская область;Центральный;90 451;1635;1635;
598;;Могоча;Забайкальский край;Сибирский;12 390;1910;1950;
599;;Можайск;Московская область;Центральный;33 880;1231;1277;
600;;Можга;Удмуртия;Приволжский;44 345;1835;1926;
601;;Моздок;Северная Осетия;Северо-Кавказский;36 784;1763;1785;
602;;Мончегорск;Мурманская область;Северо-Западный;39 962;1937;1937;Монча-Губа
603;;Морозовск;Ростовская область;Южный;24 258;1910;1941;
604;;Моршанск;Тамбовская область;Центральный;39 023;1623;1779;
605;;Мосальск;Калужская область;Центральный;4234;1231;1776;
606;;Москва;Москва;Центральный;;1147;1147;
607;;Муравленко;Ямало-Ненецкий АО;Уральский;29 233;1984;1990;
608;;Мураши;Кировская область;Приволжский;5700;1895;1944;
609;;Мурино;Ленинградская область;Северо-Западный;89 083;1676;2019;
610;;Мурманск;Мурманская область;Северо-Западный;270 384;1916;1916;
611;;Муром;Владимирская область;Центральный;107 497;862;862;
612;;Мценск;Орловская область;Центральный;36 960;1146;1778;
613;;Мыски;Кемеровская область;Сибирский;40 109;1826;1956;Томазак
614;;Мытищи;Московская область;Центральный;255 429;1460;1925;
615;;Мышкин;Ярославская область;Центральный;5621;;1991;
616;;Набережные Челны;Татарстан;Приволжский;548 434;1626;1930;
617;;Навашино;Нижегородская область;Приволжский;14 664;1891;1957;
618;;Наволоки;Ивановская область;Центральный;8167;1775;1938;
619;;Надым;Ямало-Ненецкий АО;Уральский;45 973;1597;1972;
620;;Назарово;Красноярский край;Сибирский;45 333;1700;1961;Назаровское
621;;Назрань;Ингушетия;Северо-Кавказский;122 350;1781;1967;
622;;Называевск;Омская область;Сибирский;10 434;1910;1956;
623;;Нальчик;Кабардино-Балкария;Северо-Кавказский;247 054;1724;1921;
624;;Нариманов;Астраханская область;Южный;11 104;1963;1984;
625;;Наро-Фоминск;Московская область;Центральный;71 121;1840;1926;
626;;Нарткала;Кабардино-Балкария;Северо-Кавказский;33 203;1913;1955;
627;;Нарьян-Мар;Ненецкий АО;Северо-Западный;23 399;1929;1935;Белощелье
628;;Находка;Приморский край;Дальневосточный;139 931;1864;1950;
629;;Невель;Псковская область;Северо-Западный;13 980;1562;1773;
630;;Невельск;Сахалинская область;Дальневосточный;10 608;1946;1946;
631;;Невинномысск;Ставропольский край;Северо-Кавказский;117 562;1825;1939;Невинномысская
632;;Невьянск;Свердловская область;Уральский;22 061;1701;1919;Невьянский завод
633;;Нелидово;Тверская область;Центральный;18 603;1900;1924;
634;;Неман;Калининградская область;Северо-Западный;9255;1277;1722;
635;;Нерехта;Костромская область;Центральный;19 977;1214;1778;
636;;Нерчинск;Забайкальский край;Сибирский;15 290;1653;1689;
637;;Нерюнгри;Якутия;Дальневосточный;53 409;1975;1975;Нерюнгра
638;;Нестеров;Калининградская область;Северо-Западный;3336;1539;1722;
639;;Нефтегорск;Самарская область;Приволжский;18 076;1960;1989;
640;;Нефтекамск;Башкортостан;Приволжский;131 942;1957;1963;
641;;Нефтекумск;Ставропольский край;Северо-Кавказский;23 137;1958;1968;
642;;Нефтеюганск;Ханты-Мансийский АО;Уральский;124 732;1961;1967;
643;;Нея;Костромская область;Центральный;7816;1906;1958;
644;;Нижневартовск;Ханты-Мансийский АО;Уральский;283 256;1909;1972;
645;;Нижнекамск;Татарстан;Приволжский;241 479;1961;1966;
646;;Нижнеудинск;Иркутская область;Сибирский;29 995;1648;1783;
647;;Нижние Серги;Свердловская область;Уральский;8009;1743;1943;
648;;Нижний Ломов;Пензенская область;Приволжский;20 421;1636;1780;
649;;Нижний Новгород;Нижегородская область;Приволжский;1 226 076;1221;1221;
650;;Нижний Тагил;Свердловская область;Уральский;338 966;1722;1919;
651;;Нижняя Салда;Свердловская область;Уральский;16 505;1760;1938;
652;;Нижняя Тура;Свердловская область;Уральский;18 392;1754;1949;
653;;Николаевск;Волгоградская область;Южный;13 460;1747;1967;
654;;Николаевск-на-Амуре;Хабаровский край;Дальневосточный;18 631;1850;1856;
655;;Никольск;Вологодская область;Северо-Западный;7661;;1780;
656;;Никольск;Пензенская область;Приволжский;19 873;1761;1954;Николо-Пестровка
657;;Никольское;Ленинградская область;Северо-Западный;22 355;1710;1990;
658;;Новая Ладога;Ленинградская область;Северо-Западный;7432;1704;1704;
659;;Новая Ляля;Свердловская область;Уральский;10 684;1903;1938;
660;;Новоалександровск;Ставропольский край;Северо-Кавказский;26 767;1804;1971;
661;;Новоалтайск;Алтайский край;Сибирский;73 049;1736;1942;
662;;Новоаннинский;Волгоградская область;Южный;15 351;1872;1956;
663;;Нововоронеж;Воронежская область;Центральный;30 658;1957;1987;Ново-Грэсовский
664;;Новодвинск;Архангельская область;Северо-Западный;33 294;1936;1977;
665;;Новозыбков;Брянская область;Центральный;38 680;1701;1809;
666;;Новокубанск;Краснодарский край;Южный;34 000;1867;1966;
667;;Новокузнецк;Кемеровская область;Сибирский;537 480;1618;1622;
668;;Новокуйбышевск;Самарская область;Приволжский;98 306;1946;1952;Липяги
669;;Новомичуринск;Рязанская область;Центральный;16 900;1968;1981;
670;;Новомосковск;Тульская область;Центральный;119 697;1930;1930;
671;;Новопавловск;Ставропольский край;Северо-Кавказский;20 781;1777;1981;
672;;Новоржев;Псковская область;Северо-Западный;3222;1777;1777;
673;;Новороссийск;Краснодарский край;Южный;262 293;1838;1866;
674;;Новосибирск;Новосибирская область;Сибирский;1 633 595;1893;1903;
675;;Новосиль;Орловская область;Центральный;2912;1155;1777;
676;;Новосокольники;Псковская область;Северо-Западный;6895;1901;1925;
677;;Новотроицк;Оренбургская область;Приволжский;75 960;1920;1945;Ново-Троицк
678;;Новоузенск;Саратовская область;Приволжский;15 216;1760;1835;
679;;Новоульяновск;Ульяновская область;Приволжский;13 673;1957;1967;Кременки
680;;Новоуральск;Свердловская область;Уральский;78 479;1941;1954;
681;;Новохопёрск;Воронежская область;Центральный;5948;1710;1779;
682;;Новочебоксарск;Чувашия;Приволжский;120 375;1960;1965;
683;;Новочеркасск;Ростовская область;Южный;163 674;1805;1805;
684;;Новошахтинск;Ростовская область;Южный;103 480;1910;1939;
685;;Новый Оскол;Белгородская область;Центральный;18 359;1637;1647;
686;;Новый Уренгой;Ямало-Ненецкий АО;Уральский;107 251;1975;1980;
687;;Ногинск;Московская область;Центральный;103 891;1389;1781;
688;;Нолинск;Кировская область;Приволжский;8262;1668;1780;
689;;Норильск;Красноярский край;Сибирский;174 453;1935;1953;
690;;Ноябрьск;Ямало-Ненецкий АО;Уральский;100 188;1976;1982;
691;;Нурлат;Татарстан;Приволжский;33 990;1905;1961;Нурлат-Октябрьский
692;;Нытва;Пермский край;Приволжский;16 675;1756;1942;
693;;Нюрба;Якутия;Дальневосточный;10 138;1824;1997;
694;;Нягань;Ханты-Мансийский АО;Уральский;63 034;1965;1985;
695;;Нязепетровск;Челябинская область;Уральский;10 379;1747;1944;
696;;Няндома;Архангельская область;Северо-Западный;18 473;1898;1939;
697;;Облучье;Еврейская АО;Дальневосточный;7959;1911;1915;
698;;Обнинск;Калужская область;Центральный;125 376;1946;1956;
699;;Обоянь;Курская область;Центральный;11 844;1639;1779;
700;;Обь;Новосибирская область;Сибирский;30 369;1934;1969;
701;;Одинцово;Московская область;Центральный;180 530;1470;1957;
702;;Озёрск;Калининградская область;Северо-Западный;4152;1539;1726;
703;;Озёрск;Челябинская область;Уральский;76 896;1945;1954;
704;;Озёры;Московская область;Центральный;24 359;1834;1925;Озерки
705;;Октябрьск;Самарская область;Приволжский;20 703;1684;1956;Батраки
706;;Октябрьский;Башкортостан;Приволжский;115 557;1937;1946;
707;;Окуловка;Новгородская область;Северо-Западный;9949;1851;1965;
708;;Олёкминск;Якутия;Дальневосточный;8398;1635;1783;
709;;Оленегорск;Мурманская область;Северо-Западный;21 438;1949;1957;
710;;Олонец;Карелия;Северо-Западный;7663;1137;1649;
711;;Омск;Омская область;Сибирский;1 125 695;1716;1782;
712;;Омутнинск;Кировская область;Приволжский;19 629;1773;1921;
713;;Онега;Архангельская область;Северо-Западный;16 947;1137;1780;
714;;Опочка;Псковская область;Северо-Западный;9928;1414;1412;
715;;Орёл;Орловская область;Центральный;303 169;1566;1566;
716;;Оренбург;Оренбургская область;Приволжский;543 654;1743;1743;
717;;Орехово-Зуево;Московская область;Центральный;105 745;1917;1917;
718;;Орлов;Кировская область;Приволжский;5508;1459;1780;
719;;Орск;Оренбургская область;Приволжский;189 195;1735;1865;
720;;Оса;Пермский край;Приволжский;19 523;1591;1737;
721;;Осинники;Кемеровская область;Сибирский;40 367;1926;1938;Осиновка
722;;Осташков;Тверская область;Центральный;16 674;;1770;Кличен
723;;Остров;Псковская область;Северо-Западный;20 923;1341;1341;
724;;Островной;Мурманская область;Северо-Западный;1487;1611;1981;
725;;Острогожск;Воронежская область;Центральный;31 699;1652;1765;
726;;Отрадное;Ленинградская область;Северо-Западный;25 706;1708;1970;
727;;Отрадный;Самарская область;Приволжский;46 984;1920-е;1956;
728;;Оха;Сахалинская область;Дальневосточный;20 357;1908;1938;Охэ
729;;Оханск;Пермский край;Приволжский;6430;1547;1781;
730;;Очёр;Пермский край;Приволжский;14 385;1759;1950;
731;;Павлово;Нижегородская область;Приволжский;57 116;1566;1922;Павлов Острог
732;;Павловск;Воронежская область;Центральный;22 384;1709;1779;
733;;Павловский Посад;Московская область;Центральный;65 098;1328;1844;
734;;Палласовка;Волгоградская область;Южный;14 966;1907;1967;
735;;Партизанск;Приморский край;Дальневосточный;33 832;1896;1932;
736;;Певек;Чукотский АО;Дальневосточный;4015;1933;1967;
737;;Пенза;Пензенская область;Приволжский;501 109;1663;1663;
738;;Первомайск;Нижегородская область;Приволжский;13 223;;1951;
739;;Первоуральск;Свердловская область;Уральский;114 450;1732;1933;
740;;Перевоз;Нижегородская область;Приволжский;8999;1593;2001;
741;;Пересвет;Московская область;Центральный;11 752;1948;2000;
742;;Переславль-Залесский;Ярославская область;Центральный;37 738;1152;1152;Переяславль
743;;Пермь;Пермский край;Приволжский;1 034 002;1723;1781;
744;;Пестово;Новгородская область;Северо-Западный;14 032;1918;1965;
745;;Петров Вал;Волгоградская область;Южный;12 526;1942;1988;
746;;Петровск;Саратовская область;Приволжский;26 319;1698;1780;
747;;Петровск-Забайкальский;Забайкальский край;Сибирский;15 015;1789;1926;
748;;Петрозаводск;Карелия;Северо-Западный;234 897;1703;1777;
749;;Петропавловск-Камчатский;Камчатский край;Дальневосточный;164 900;1740;1812;
750;;Петухово;Курганская область;Уральский;8502;1779;1944;
751;;Петушки;Владимирская область;Центральный;13 317;1861;1965;Новые Петушки
752;;Печора;Коми;Северо-Западный;35 254;1940;1949;
753;;Печоры;Псковская область;Северо-Западный;10 247;1473;1782;
754;;Пикалёво;Ленинградская область;Северо-Западный;20 388;1620;1954;
755;;Пионерский;Калининградская область;Северо-Западный;12 794;1254;1952;
756;;Питкяранта;Карелия;Северо-Западный;8340;;1940;
757;;Плавск;Тульская область;Центральный;16 893;1563;1949;
758;;Пласт;Челябинская область;Уральский;18 379;1845;1940;
759;;Плёс;Ивановская область;Центральный;1896;1410;1925;
760;;Поворино;Воронежская область;Центральный;16 417;1870;1954;
761;;Подольск;Московская область;Центральный;314 934;1559;1781;
762;;Подпорожье;Ленинградская область;Северо-Западный;16 123;1936;1956;
763;;Покачи;Ханты-Мансийский АО;Уральский;16 040;1984;1992;
764;;Покров;Владимирская область;Центральный;17 747;1506;1778;
765;;Покровск;Якутия;Дальневосточный;12 021;1682;1997;
766;;Полевской;Свердловская область;Уральский;55 182;1718;1942;Полевской завод
767;;Полесск;Калининградская область;Северо-Западный;6926;1258;1642;
768;;Полысаево;Кемеровская область;Сибирский;25 631;1952;1989;
769;;Полярные Зори;Мурманская область;Северо-Западный;14 146;1968;1991;
770;;Полярный;Мурманская область;Северо-Западный;12 293;1896;1939;
771;;Поронайск;Сахалинская область;Дальневосточный;16 026;1869;1946;
772;;Порхов;Псковская область;Северо-Западный;7309;1239;1239;
773;;Похвистнево;Самарская область;Приволжский;27 333;1888;1947;
774;;Почеп;Брянская область;Центральный;14 991;1447;1925;
775;;Починок;Смоленская область;Центральный;7575;1868;1926;
776;;Пошехонье;Ярославская область;Центральный;5150;1680;1777;
777;;Правдинск;Калининградская область;Северо-Западный;3986;1312;1335;
778;;Приволжск;Ивановская область;Центральный;14 332;1484;1938;
779;;Приморск;Калининградская область;Северо-Западный;1436;1268;2008;
780;;Приморск;Ленинградская область;Северо-Западный;6537;1268;1940;
781;;Приморско-Ахтарск;Краснодарский край;Южный;31 087;1854;1949;
782;;Приозерск;Ленинградская область;Северо-Западный;18 777;;1310;
783;;Прокопьевск;Кемеровская область;Сибирский;177 819;1650;1931;Монастырское
784;;Пролетарск;Ростовская область;Южный;18 983;;1970;
785;;Протвино;Московская область;Центральный;37 735;1960;1989;Серпухов-7
786;;Прохладный;Кабардино-Балкария;Северо-Кавказский;59 938;1765;1937;
787;;Псков;Псковская область;Северо-Западный;193 082;903;903;Плесков
788;;Пугачёв;Саратовская область;Приволжский;40 127;1764;1835;
789;;Пудож;Карелия;Северо-Западный;7356;1382;1785;
790;;Пустошка;Псковская область;Северо-Западный;4070;1901;1925;
791;;Пучеж;Ивановская область;Центральный;6879;1594;1793;
792;;Пушкино;Московская область;Центральный;110 868;1499;1925;
793;;Пущино;Московская область;Центральный;19 578;1956;1966;
794;;Пыталово;Псковская область;Северо-Западный;5263;1782;1933;
795;;Пыть-Ях;Ханты-Мансийский АО;Уральский;40 180;1968;1990;
796;;Пятигорск;Ставропольский край;Северо-Кавказский;146 473;1780;1830;
797;;Радужный;Владимирская область;Центральный;17 569;1971;1991;Владимир-30
798;;Радужный;Ханты-Мансийский АО;Уральский;43 577;1973;1985;
799;;Райчихинск;Амурская область;Дальневосточный;15 797;1932;1944;Райчиха
800;;Раменское;Московская область;Центральный;114 537;1328;1926;Раменье
801;;Рассказово;Тамбовская область;Центральный;47 644;1698;1926;
802;;Ревда;Свердловская область;Уральский;60 200;1734;1935;
803;;Реж;Свердловская область;Уральский;36 585;1773;1943;
804;;Реутов;Московская область;Центральный;113 871;1573;1940;
805;;Ржев;Тверская область;Центральный;55 757;1216;1216;
806;;Родники;Ивановская область;Центральный;24 101;1606;1918;
807;;Рославль;Смоленская область;Центральный;45 416;1137;1755;Ростиславль
808;;Россошь;Воронежская область;Центральный;60 879;;1923;
809;;Ростов-на-Дону;Ростовская область;Южный;1 142 162;1749;1807;
810;;Ростов;Ярославская область;Центральный;28 122;862;862;
811;;Рошаль;Московская область;Центральный;21 401;1916;1940;
812;;Ртищево;Саратовская область;Приволжский;37 850;1666;1925;
813;;Рубцовск;Алтайский край;Сибирский;126 834;1892;1927;
814;;Рудня;Смоленская область;Центральный;8908;1363;1926;
815;;Руза;Московская область;Центральный;16 014;1328;1781;
816;;Рузаевка;Мордовия;Приволжский;42 989;1631;1973;
817;;Рыбинск;Ярославская область;Центральный;177 295;1071;1777;
818;;Рыбное;Рязанская область;Центральный;21 069;1597;1961;
819;;Рыльск;Курская область;Центральный;15 069;1152;;
820;;Ряжск;Рязанская область;Центральный;20 634;1502;1778;Рясское Поле
821;;Рязань;Рязанская область;Центральный;528 599;1095;1095;
822;;;Крым;Южный;24 285;1952;1952;Сак
823;;Салават;Башкортостан;Приволжский;148 575;1948;1954;Новострой
824;;Салаир;Кемеровская область;Сибирский;7088;1626;1941;
825;;Салехард;Ямало-Ненецкий АО;Уральский;47 910;1595;1938;
826;;Сальск;Ростовская область;Южный;57 937;1812;1926;
827;;Самара;Самарская область;Приволжский;1 173 299;1586;1688;
828;;Санкт-Петербург;Санкт-Петербург;Северо-Западный;5 601 911;1703;1703;
829;;Саранск;Мордовия;Приволжский;314 871;1641;1780;Саранский Острожек
830;;Сарапул;Удмуртия;Приволжский;91 115;1621;1780;
831;;Саратов;Саратовская область;Приволжский;901 361;1590;1590;
